week,matchup,home,away,div_home,div_away
1,(1-2),Speasy,TheRealBauer,1,1
1,(3-4),MKx,StumpfIstTrumpf,1,1
1,(6-7),Hubner,MarkusEXperte,2,2
1,(8-9),AllTimeReadyPat,Blitzkoerper85,2,2
1,(5-10),Hammichan,Wolverine88,1,2
2,(2-3),TheRealBauer,MKx,1,1
2,(4-5),StumpfIstTrumpf,Hammichan,1,1
2,(7-8),MarkusEXperte,AllTimeReadyPat,2,2
2,(9-10),Blitzkoerper85,Wolverine88,2,2
2,(1-6),Speasy,Hubner,1,2
3,(3-4),MKx,StumpfIstTrumpf,1,1
3,(5-1),Hammichan,Speasy,1,1
3,(8-9),AllTimeReadyPat,Blitzkoerper85,2,2
3,(10-6),Wolverine88,Hubner,2,2
3,(2-7),TheRealBauer,MarkusEXperte,1,2
4,(4-5),StumpfIstTrumpf,Hammichan,1,1
4,(1-2),Speasy,TheRealBauer,1,1
4,(9-10),Blitzkoerper85,Wolverine88,2,2
4,(6-7),Hubner,MarkusEXperte,2,2
4,(3-8),MKx,AllTimeReadyPat,1,2
5,(5-1),Hammichan,Speasy,1,1
5,(2-3),TheRealBauer,MKx,1,1
5,(10-6),Wolverine88,Hubner,2,2
5,(7-8),MarkusEXperte,AllTimeReadyPat,2,2
5,(4-9),StumpfIstTrumpf,Blitzkoerper85,1,2
6,(1-3),Speasy,MKx,1,1
6,(2-4),TheRealBauer,StumpfIstTrumpf,1,1
6,(7-9),MarkusEXperte,Blitzkoerper85,2,2
6,(8-10),AllTimeReadyPat,Wolverine88,2,2
6,(5-6),Hammichan,Hubner,1,2
7,(2-4),TheRealBauer,StumpfIstTrumpf,1,1
7,(3-5),MKx,Hammichan,1,1
7,(8-10),AllTimeReadyPat,Wolverine88,2,2
7,(9-6),Blitzkoerper85,Hubner,2,2
7,(1-7),Speasy,MarkusEXperte,1,2
8,(3-5),MKx,Hammichan,1,1
8,(4-1),StumpfIstTrumpf,Speasy,1,1
8,(9-6),Blitzkoerper85,Hubner,2,2
8,(10-7),Wolverine88,MarkusEXperte,2,2
8,(2-8),TheRealBauer,AllTimeReadyPat,1,2
9,(4-1),StumpfIstTrumpf,Speasy,1,1
9,(5-2),Hammichan,TheRealBauer,1,1
9,(10-7),Wolverine88,MarkusEXperte,2,2
9,(6-8),Hubner,AllTimeReadyPat,2,2
9,(3-9),MKx,Blitzkoerper85,1,2
10,(5-2),Hammichan,TheRealBauer,1,1
10,(1-3),Speasy,MKx,1,1
10,(6-8),Hubner,AllTimeReadyPat,2,2
10,(7-9),MarkusEXperte,Blitzkoerper85,2,2
10,(4-10),StumpfIstTrumpf,Wolverine88,1,2
11,(1-8),Speasy,AllTimeReadyPat,1,2
11,(2-9),TheRealBauer,Blitzkoerper85,1,2
11,(3-10),MKx,Wolverine88,1,2
11,(4-6),StumpfIstTrumpf,Hubner,1,2
11,(5-7),Hammichan,MarkusEXperte,1,2
12,(1-9),Speasy,Blitzkoerper85,1,2
12,(2-10),TheRealBauer,Wolverine88,1,2
12,(3-6),MKx,Hubner,1,2
12,(4-7),StumpfIstTrumpf,MarkusEXperte,1,2
12,(5-8),Hammichan,AllTimeReadyPat,1,2
13,(1-10),Speasy,Wolverine88,1,2
13,(2-6),TheRealBauer,Hubner,1,2
13,(3-7),MKx,MarkusEXperte,1,2
13,(4-8),StumpfIstTrumpf,AllTimeReadyPat,1,2
13,(5-9),Hammichan,Blitzkoerper85,1,2